community_id,person_id
319,2787; 2819; 4092; 4206; 4276; 4279; 4280; 4309; 4487; 4489; 4493; 4495; 4497; 4498; 4500; 4727; 5371; 5490; 5706; 6466; 6648; 6978; 7007; 7743; 8086; 8097; 8105; 8106; 8612; 9049; 9051; 9056; 9057; 9058; 9059; 9753; 11131
1294,5820; 7090
1387,5820
1115,5641
117,3939
122,2387; 2801; 6257
298,3171; 4489; 7093; 7565; 8107; 8109; 9062
368,2787; 2943; 4730; 9523
1486,5824
1292,13240
934,1974; 2491; 3188; 3189; 3191; 7348; 10591; 10613
834,2504
935,2491
576,7775
711,2510; 2806; 5644; 6721
290,2441; 2948; 4607; 9618
481,6045
1487,5824
484,1575; 1901; 1902; 1903; 3049; 4196; 9703; 11569; 11575; 13168
862,2819; 4358; 4490; 8538; 9126; 9618; 10083; 12839
509,9929
1197,11285
922,2758; 7881
439,3485; 4228; 4358; 5024; 5041; 5044; 5048; 5078; 5115; 5117; 5120; 5121; 7272; 7551; 7559; 9047; 9203; 9355; 9585; 9588; 9589; 9593; 9601; 9622; 9895; 10093; 10355; 11426; 11427; 11435; 11444; 11445; 11487; 11488; 11489; 11490; 11491; 12906; 12980; 13162; 13178; 13181; 13679; 13721
289,2948
362,7937
250,1898
1191,7162
837,4267; 4497; 6286; 13724
174,4358; 11385; 12839; 13686
469,6470; 10093
179,10355; 10815; 12500; 12980
1497,13679
363,13507
835,9703
95,1659; 2162; 2661; 2662; 2670; 2683; 2730; 2776; 3010; 3175; 3940; 4085; 4113; 4114; 4358; 4676; 7130; 8181; 8906; 9126; 9201; 9634; 10019; 10258; 11385; 12839; 13074; 13152; 13686; 13697; 13860; 13885
236,2891
312,6219; 9062
36,1637; 1852; 2327; 2328; 2418; 2456; 2462; 2523; 2814; 2819; 2871; 2872; 2912; 2952; 3107; 3171; 3173; 3307; 3762; 3782; 3989; 4092; 4141; 4206; 4228; 4259; 4265; 4276; 4277; 4278; 4279; 4280; 4282; 4314; 4487; 4488; 4489; 4490; 4492; 4493; 4494; 4495; 4496; 4497; 4498; 4499; 4500; 4535; 4669; 5317; 5371; 5381; 5415; 5480; 5485; 5490; 5706; 5777; 5796; 5805; 5849; 5871; 5901; 5932; 5953; 6219; 6286; 6340; 6466; 6493; 6498; 6526; 6648; 6690; 6746; 6793; 6872; 6910; 6953; 6978; 6979; 6997; 7083; 7093; 7182; 7230; 7294; 7305; 7743; 7870; 8027; 8086; 8097; 8099; 8105; 8106; 8107; 8108; 8109; 8986; 9049; 9050; 9051; 9053; 9055; 9056; 9057; 9058; 9059; 9062; 9083; 9095; 9213; 9254; 9795; 9839; 9873; 10480; 10687; 11131; 11731; 12817; 12883; 13502; 13519
255,6770
1023,3989
1265,9590
