person_id,default_name,historical_period_name,historical_period_id
8563,Jigme Yonten Gonpo,19th Century,73
9646,Tubten Chokyi Dorje,19th Century,73
3020,Mingyur Namkhai Dorje,19th Century,73
4986,Namkha Chokyi Gyatso,19th Century,73
13104,Lobzang Jampel Tendzin Namgyel,19th Century,73
4524,Lobzang Chodrak Gyatso,19th Century,73
6634,Lobzang Trinle Gyatso,19th Century,73
3414,Lobzang Jampa,19th Century,73
2238,Lobzang Trinle Gyatso,19th Century,73
6818,Jigme Samdrub Gyatso,19th Century,73
6110,Konchok Tenpai Gyatso,19th Century,73
5932,Lobzang Gelek,19th Century,73
2456,Khyenrab Yonten Gyatso,19th Century,73
9049,Lobzang Gyeltsen,19th Century,73
9051,Yeshe Wangden,19th Century,73
3074,Konchok Gyeltsen,19th Century,73
3977,Giteng Lobzang Pelden,19th Century,73
13163,Tenpai Nyima,19th Century,73
8860,Khetsun Gyatso,19th Century,73
5164,Peljor Gyatso,19th Century,73
9884,Pema Tekchok Tenpai Gyeltsen,19th Century,73
11491,Sonam Gelek,19th Century,73
11489,Kelden Gyatso,19th Century,73
3734,Lobzang Tenpai Nyima,19th Century,73
11490,Dorje Rabten,19th Century,73
11445,Konchok Drakpa,19th Century,73
6536,Jigme Rigpai Sengge,19th Century,73
8184,Lobzang Chodar,19th Century,73
4720,Drakpa Gyeltsen,19th Century,73
3769,Konchok Sengge,19th Century,73
6025,Jigme Gyeltsen,19th Century,73
5910,Konchok Gyepai Lodro,19th Century,73
3080,Konchok Chopel,19th Century,73
2974,Shingza Paṇḍita Lobzang Dargye Gyatso,19th Century,73
11435,Jigme Lodro,19th Century,73
13146,Orgyen Gelek Namgyel,19th Century,73
11443,Sonam Jinpa,19th Century,73
5048,Konchok Zangpo,19th Century,73
13180,Name Unknown,19th Century,73
7172,Lobzang Tashi Trinle Gyatso,19th Century,73
6929,Jigme Tubten Nyima,19th Century,73
5328,Yeshe Lobzang Tenpai Gonpo,19th Century,73
4163,Ngawang Pelden Chokyi Gyeltsen,19th Century,73
12785,Japa Dongak Gyatso,19th Century,73
9588,Tubten Nyendrak,19th Century,73
13202,Lobzang Khechok,19th Century,73
13204,Demchok Dorje,19th Century,73
13228,Gyurme Tekchok Tenpa Namgyel,19th Century,73
5902,Shedrub Gyatso,19th Century,73
4665,Bipa Mipam Dawa,19th Century,73
5410,Lobzang Tsultrim Gyatso,19th Century,73
4730,Konchok Tenpai Dronme,19th Century,73
13189,Kelzang Pema Wanggyel,19th Century,73
6498,Lobzang Khyenrab Wangchuk,19th Century,73
9053,Lhundrub Tsondru,19th Century,73
13425,Kontse Tsewang Dondrub,19th Century,73
13426,Lobzang Nyendrak,19th Century,73
13427,Puntsok Tsewang,19th Century,73
13453,Getse Pema,19th Century,73
13454,Gyurme Tenpel Chozang,19th Century,73
4469,Lungtok Gyatso,19th Century,73
4314,Tsultrim Gyatso,19th Century,73
4259,Khedrub Gyatso,19th Century,73
7272,Bamda Gelek,19th Century,73
4285,Jigme Chokyi Wangchuk,19th Century,73
3989,Dechen Nyingpo,19th Century,73
5041,Gelek Namgyel,19th Century,73
11427,Sonam Chopel,19th Century,73
13191,Kunzang Gyurme Lhundrub,19th Century,73
2495,Sherab Gyatso,19th Century,73
8397,Yeshe Ngodrub,19th Century,73
