tol_id,tbrc_id,primary_name,prefered_wylie,name_variant,lang_tag
6895,P4456,Zhangtsun Dorje Wozer,zhang btsun rdo rje 'od zer,rdo rje 'od zer,bo-x-ewts
6895,P4456,Zhangtsun Dorje Wozer,zhang btsun rdo rje 'od zer,zhang btsun,bo-x-ewts
6895,P4456,Zhangtsun Dorje Wozer,zhang btsun rdo rje 'od zer,snar thang mkhan chen 3 rdo rje 'od zer,bo-x-ewts
6895,P4456,Zhangtsun Dorje Wozer,zhang btsun rdo rje 'od zer,rdo rje 'od,bo-x-ewts
6895,P4456,Zhangtsun Dorje Wozer,zhang btsun rdo rje 'od zer,Dorje Wo,en
6895,P4456,Zhangtsun Dorje Wozer,zhang btsun rdo rje 'od zer,Dorje Wozer,en
6895,P4456,Zhangtsun Dorje Wozer,zhang btsun rdo rje 'od zer,Zhangtsun,en
6896,P4457,chos kyi bla ma,chos kyi bla ma,chos kyi bla ma,bo-x-ewts
6898,P4459,ngag dbang chos 'phel,ngag dbang chos 'phel,ngag dbang chos 'phel,bo-x-ewts
6899,P446,don grub grags pa,don grub grags pa,paN chen,bo-x-ewts
6901,P4461,kun dga' rgya mtsho,kun dga' rgya mtsho,kun dga' rgya mtsho,bo-x-ewts
6904,P4464,dpal ldan rgya mtsho,dpal ldan rgya mtsho,dpal ldan rgya mtsho,bo-x-ewts
6905,P4465,bsod nams rin chen,bsod nams rin chen,bsod nams rin chen,bo-x-ewts
6910,P447,"The Thirteenth Ganden Tripa, Chokyi Shenyen",dga' ldan khri pa 13 chos kyi bshes gnyen,dga' ldan khri pa 13 chos kyi bshes gnyen,bo-x-ewts
