person_id,name_variant_text,language_encoding_tag_id,language_encoding_tag_id
2527,blo bzang tshul khrims rgya mtsho,bo-x-ewts,1
2527,Lobzang Tsultrim Gyatso,bo-x-ewts,1
2527,Lamo 06 Ngawang Chokdrub Tenpai Gyeltsen,en,2
2539,rdo rje rgyal po,bo-x-ewts,1
2539,Drogon Dorje Gyelpo,en,2
2539,khams ston rdo rje rgyal po,bo-x-ewts,1
2539,gro mgon rdo rje rgyal po,bo-x-ewts,1
2539,Khamton Dorje Gyelpo,en,2
2539,Dorje Gyelpo,en,2
2541,mgo log sman pa stag bla nor bu,bo-x-ewts,1
2541,jigs med thub bstan rgya mtsho,bo-x-ewts,1
2541,stag go sman pa bla ma,bo-x-ewts,1
2541,Jigme Tubten Gyatso,en,2
2541,Golok Menpa Takla Norbu,en,2
2541,Takgo Menpa Lama,en,2
2561,rtsi lung pa,bo-x-ewts,1
2561,Tsilingpa,en,2
2577,snar thang mkhan chen 11 grags pa shes rab,bo-x-ewts,1
2577,Zeu Drakpa Sherab,en,2
2578,grags pa brtson 'grus,bo-x-ewts,1
2578,dul 'dzin,bo-x-ewts,1
2578,Drakpa Tsondru,en,2
2578,Duldzin,en,2
2584,shes rab 'byung gnas,bo-x-ewts,1
2584,spyan snga shes rab 'byung gnas,bo-x-ewts,1
2584,bri gung spyan snga shes rab 'byung gnas,bo-x-ewts,1
2584,bri gung dbon shes rab 'byung gnas,bo-x-ewts,1
2584,bri gung gling pa,bo-x-ewts,1
2584,Drigung On Sherab Jungne,en,2
2584,Drigung Lingpa,en,2
2584,Sherab Jungne,en,2
2584,Chennga Sherab Jungne,en,2
2589,chos rje rgyal ba kaH thog pa,bo-x-ewts,1
2589,spobs pa mtha' yas,bo-x-ewts,1
2589,shes rab seng+ge,bo-x-ewts,1
2589,Katokpa Dampa Deshek ,en,2
2589,Choje Gyelwa Katokpa ,en,2
2589,ka dam pa bde gshegs,bo-x-ewts,1
2589,Kadampa Deshek ,en,2
2589,bde gshegs shes rab seng+ge,bo-x-ewts,1
2589,Deshek Sherab Sengge ,en,2
2589,Pobpa Taye ,en,2
2589,bla ma spobs pa mtha' yas,bo-x-ewts,1
2589,Lama Pobpa Taye ,en,2
2589,Sherab Sengge ,en,2
2589,shar pa spobs pa mtha' yas  ,bo-x-ewts,1
2589,Sharpa Popba Taye,en,2
2589,Katok Mani Rinchen,en,2
2591,ye shes 'bar,bo-x-ewts,1
2591,sne'u zur pa,bo-x-ewts,1
2591,Yeshe Bar,en,2
2591,Neuzurpa,en,2
2592,nam mkha' rgyal mtshan,bo-x-ewts,1
2592,lho brag grub chen nam mkha' rgyal mtshan,bo-x-ewts,1
2592,gsang bdag nam mkha' rgyal mtshan,bo-x-ewts,1
2592,Sangdak Namkha Gyeltsen,en,2
