person_id,tbrc_rid,default_name,tradition_id,tradition_name
13879,,Khordong Choktrul Gyurme Dorje,1,Nyingma
23,P00EGS1016642,Ratnākaraśānti,4,Kadam
1728,P10185,Pelchok Dangpo Dorje,4,Kadam
1831,P1028,Ga Rabjampa Kunga Yeshe,4,Kadam
2104,P1053,Lotsāwa Chokden Lekpai Lodro,4,Kadam
2181,P1060,Chim Namkha Drak,4,Kadam
2483,P1219,Kyoton Monlam Tsultrim,4,Kadam
2539,P127,Pakmodrupa Dorje Gyelpo,4,Kadam
2577,P1303,Drakpa Sherab,4,Kadam
2578,P1304,Zeu Drakpa Tsondru,4,Kadam
2589,P1314,Katokpa Dampa Deshek,4,Kadam
2591,P1316,Neuzurpa Yeshe Bar,4,Kadam
2592,P1317,Drubchen Namkha Gyeltsen,4,Kadam
2593,P1318,Shupu Namkha Sengge,4,Kadam
2598,P1322,Gonpawa Wangchuk Gyeltsen,4,Kadam
2638,P136,Duldzinpa Takmapa Kawa Darseng,4,Kadam
2683,P1400,Dusum Khyenpa,4,Kadam
2791,P1500,Tsonawa Sherab Zangpo,4,Kadam
2810,P1518,Śākyaśrībhadra,4,Kadam
2845,P155,Buton Rinchen Drub,4,Kadam
2854,P1558,Dondrub Rinchen,4,Kadam
2882,P1583,Longchenpa Drime Wozer,4,Kadam
2891,P1591,Duldzin Drakpa Gyeltsen,4,Kadam
3006,P1699,Ngari Paṇchen Pema Wanggyel,4,Kadam
3153,P1830,Gyelse Tokme Zangpo,4,Kadam
3168,P1844,Gampopa Sonam Rinchen,4,Kadam
3736,P207,Vanaratna,4,Kadam
3744,P2077,Jampel Gyatso,4,Kadam
3753,P2085,Pang Lotsāwa Lodro Tenpa,4,Kadam
3759,P2090,Gotsangpa Gonpo Dorje,4,Kadam
3762,P2093,Sherab Sengge,4,Kadam
3890,P2210,Gurawa Tsultrim Dorje,4,Kadam
3957,P2271,Droton Dutsi Drakpa,4,Kadam
4114,P2413,Puntsok Pelzang,4,Kadam
4261,P2551,Ngok Lotsāwa Loden Sherab,4,Kadam
4267,P2557,Dromton Gyelwa Jungne,4,Kadam
4359,P2640,Sanggye Gompa Sengge,4,Kadam
5555,P3229,Nartangpa Tsultrim Gyeltsen,4,Kadam
5626,P3296,Buddhaśrī,4,Kadam
